Date,Midwest,Northeast,United States,South,West
2/1/19,1222.538521,2016.445006,1636.963422,1345.028001,1958.916391
3/1/19,1224.653676,1989.462621,1631.835719,1346.450754,1980.859908
4/1/19,1220.869715,1963.285857,1618.734555,1348.937977,1986.112836
5/1/19,1226.45558,1974.667839,1622.53643,1355.723224,2022.200083
6/1/19,1245.724402,1953.971978,1629.482421,1360.44238,2053.384543
7/1/19,1246.391878,1966.107794,1630.074589,1361.214448,2057.831912
8/1/19,1246.531527,1986.775434,1636.589709,1356.769162,2080.082925
9/1/19,1254.159246,1990.112266,1643.122161,1349.979337,2068.313676
10/1/19,1257.809749,1985.135514,1636.800772,1346.187895,2040.155172
11/1/19,1248.52861,1990.105434,1611.379546,1334.733185,2012.987678
12/1/19,1244.518018,1970.265429,1593.103547,1330.042171,2000.546845
1/1/20,1234.126681,1964.351497,1583.688769,1330.793361,1992.043283
2/1/20,1241.293004,1977.400067,1593.837711,1337.767565,2007.934892
3/1/20,1251.092778,1985.15277,1614.011996,1338.518171,2005.51685
4/1/20,1262.800106,2082.865963,1680.727167,1344.732588,2030.338141
5/1/20,1275.722353,2092.90835,1694.103885,1352.807956,2041.917964
6/1/20,1271.5757,2096.07507,1707.445956,1360.522066,2052.701489
7/1/20,1281.127266,2152.153141,1739.682266,1363.9249,2062.972447
8/1/20,1275.414519,2128.307328,1730.945733,1367.925889,2048.290694
9/1/20,1256.915901,2064.687065,1681.907973,1353.646725,2014.668932
10/1/20,1257.783935,2028.292482,1666.512709,1348.362273,1991.923128
11/1/20,1258.062146,2000.638135,1647.010078,1348.471012,1984.090847
12/1/20,1253.956873,1983.283965,1647.222601,1347.277915,1985.089208
1/1/21,1265.64567,1995.702669,1638.821764,1348.301574,1975.320022
2/1/21,1272.448463,1997.939047,1632.271784,1346.495887,1990.859215
3/1/21,1279.691352,1996.745091,1651.784864,1350.814233,2021.235859
4/1/21,1269.817488,2068.571694,1688.52275,1365.071301,2055.130078
5/1/21,1273.293002,2145.520823,1720.919798,1385.641031,2099.331367
6/1/21,1283.022333,2170.945204,1751.988784,1417.147725,2144.540041
7/1/21,1282.358805,2192.250496,1789.033874,1446.067393,2222.631072
8/1/21,1291.542404,2232.566399,1828.476304,1476.165732,2273.249324
9/1/21,1289.887659,2219.869908,1840.303171,1483.083576,2313.326626
10/1/21,1294.417689,2151.72493,1838.978581,1494.918656,2343.429371
11/1/21,1306.724439,2171.105266,1867.842322,1515.987412,2344.884143
12/1/21,1300.749773,2178.379143,1888.836874,1535.138986,2342.786144
1/1/22,1302.300629,2207.909623,1897.199319,1540.992828,2354.61814
2/1/22,1286.141262,2224.407097,1904.628645,1545.303297,2367.485075
3/1/22,1299.847072,2305.477334,1944.335046,1575.772548,2387.959844
4/1/22,1321.594113,2301.493792,1960.548673,1606.649634,2413.617754
5/1/22,1339.951291,2367.982605,2005.700483,1649.221246,2460.515045
6/1/22,1345.506605,2399.594232,2018.815104,1657.094055,2459.717633
7/1/22,1357.567598,2420.791615,2031.581846,1670.3007,2479.205603
8/1/22,1371.205505,2479.01927,2053.518706,1678.083989,2496.770563
9/1/22,1367.861902,2406.314527,2002.87896,1658.474729,2452.682697
10/1/22,1374.326748,2390.361169,1983.665308,1644.655873,2428.944443
11/1/22,1371.194689,2447.679613,2008.537539,1640.937805,2388.806127
12/1/22,1382.944486,2398.087325,1979.83787,1649.257115,2359.383866
1/1/23,1372.956416,2373.270466,1942.260205,1637.631918,2343.72946
2/1/23,1373.626603,2357.49142,1937.170724,1630.053422,2351.344799
3/1/23,1383.134439,2411.839768,1971.605592,1650.584529,2381.015995
4/1/23,1391.955807,2428.074397,1966.817789,1654.956234,2374.80421
5/1/23,1405.639419,2495.215841,1994.897048,1661.878335,2408.608957
6/1/23,1395.566618,2503.148269,2029.586916,1670.296475,2452.096335
7/1/23,1416.117739,2533.349142,2037.825048,1674.490048,2451.257037
8/1/23,1434.472265,2508.825522,2052.248657,1673.059199,2469.131763
9/1/23,1435.862567,2481.925756,2010.891606,1652.964611,2413.142634
10/1/23,1430.403673,2462.763416,1977.86323,1641.503397,2391.963517
11/1/23,1433.808348,2447.164776,1966.608413,1634.795355,2346.649539
